Sandık No,Seçim Çevresi,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Sandıktan Çıkan Oy Pusulası Sayısı,122. Maddeye Göre Yakılarak İptal Edilen Oy Pusulası Sayısı,Kullanılma-dığından İptal Edilerek Saklanan Oy Pusulası Sayısı,Geçerli Oy Pusulası Sayısı,Geçersiz Oy Pusulası Sayısı,Ersin Tatar,Tufan Erhürman,YDP,MDP,Arif Salih,Ahmet Boran,Mustafa Ulaş,Alpan Uz,Kudret Özersay,Mustafa Akıncı,Serdar Denktaş,Region
1,PİLE - PİLE,404,168,169,1,236,164,4,26,57,0,0,1,0,0,0,16,48,16,Magusa
2,AKDOĞAN - AKDOĞAN,285,128,128,0,157,123,5,26,50,2,0,0,1,0,0,0,41,3,Magusa
3,AKDOĞAN - AKDOĞAN,288,200,200,0,88,193,7,75,60,3,0,0,0,0,0,7,40,8,Magusa
4,AKDOĞAN - AKDOĞAN,283,214,214,0,69,187,27,61,72,1,0,1,0,0,0,5,39,8,Magusa
5,AKDOĞAN - AKDOĞAN,287,198,198,0,89,186,12,65,69,6,1,0,0,0,1,8,34,2,Magusa
6,AKDOĞAN - AKDOĞAN,286,199,199,0,87,189,10,42,91,1,0,0,0,0,0,1,50,4,Magusa
7,AKDOĞAN - AKDOĞAN,284,203,203,0,81,182,21,79,48,2,1,0,0,0,0,1,48,3,Magusa
8,AKDOĞAN - AKDOĞAN,286,193,193,0,93,184,9,65,70,1,2,2,0,0,0,4,32,8,Magusa
9,BEYARMUDU - BEYARMUDU,246,163,163,0,83,148,15,57,17,1,0,1,0,0,0,6,59,7,Magusa
10,BEYARMUDU - BEYARMUDU,247,168,168,0,79,142,26,45,15,1,0,0,0,0,0,13,67,1,Magusa
11,BEYARMUDU - BEYARMUDU,245,151,151,0,94,125,26,56,21,0,0,1,1,0,0,4,34,8,Magusa
12,BEYARMUDU - BEYARMUDU,245,167,167,0,78,154,13,44,15,0,0,0,0,0,0,2,92,1,Magusa
13,BEYARMUDU - ÇAYÖNÜ,313,200,200,0,113,182,18,89,35,8,0,0,0,0,0,14,28,8,Magusa
14,BEYARMUDU - ÇAYÖNÜ,306,184,184,0,122,177,7,76,24,17,2,0,1,0,0,21,27,9,Magusa
15,BEYARMUDU - GÜVERCİNLİK,301,198,198,0,103,182,16,121,20,23,1,1,0,0,0,14,1,1,Magusa
16,BEYARMUDU - GÜVERCİNLİK,303,182,182,0,121,165,17,95,18,34,0,0,0,0,0,14,4,0,Magusa
17,BEYARMUDU - GÜVERCİNLİK,298,204,204,0,94,200,4,145,7,35,0,0,0,0,0,13,0,0,Magusa
18,BEYARMUDU - İNCİRLİ,361,177,177,0,184,166,11,65,28,6,0,0,0,0,0,9,48,10,Magusa
19,BEYARMUDU - KÖPRÜLÜ,182,94,94,0,88,88,6,24,21,0,0,2,0,0,1,29,11,0,Magusa
20,BEYARMUDU - TÜRKMENKÖY,245,166,166,0,79,154,12,45,43,0,0,0,0,0,1,18,45,2,Magusa
21,BEYARMUDU - TÜRKMENKÖY,241,152,152,0,89,141,11,32,46,0,1,0,0,0,0,7,38,17,Magusa
22,BEYARMUDU - TÜRKMENKÖY,238,158,158,0,80,144,14,28,50,2,0,0,0,0,0,17,47,0,Magusa
23,GAZİMAĞUSA - ANADOLU MAH,279,137,137,0,142,128,9,54,25,34,0,1,0,0,0,4,8,2,Magusa
24,GAZİMAĞUSA - ANADOLU MAH,247,119,119,0,128,114,5,80,8,17,0,0,1,0,0,0,6,2,Magusa
25,GAZİMAĞUSA - ANADOLU MAH,249,152,152,0,97,143,9,80,19,23,1,0,0,0,0,5,12,3,Magusa
26,GAZİMAĞUSA - ANADOLU MAH,246,134,134,0,112,129,5,64,14,26,2,0,0,0,0,6,17,0,Magusa
27,GAZİMAĞUSA - ANADOLU MAH,247,127,127,0,120,125,2,64,9,29,0,0,0,0,0,12,8,3,Magusa
28,GAZİMAĞUSA - BAYKAL MAH,289,140,140,0,149,138,2,37,21,4,3,0,0,0,0,14,43,16,Magusa
29,GAZİMAĞUSA - BAYKAL MAH,286,125,125,0,161,121,4,44,22,2,0,0,0,0,0,9,44,0,Magusa
30,GAZİMAĞUSA - BAYKAL MAH,295,160,160,0,135,159,1,44,30,2,0,0,0,0,0,13,62,8,Magusa
31,GAZİMAĞUSA - BAYKAL MAH,295,148,148,0,147,144,4,40,39,5,1,0,0,0,0,1,48,10,Magusa
32,GAZİMAĞUSA - BAYKAL MAH,291,148,148,0,143,138,10,36,26,3,0,0,0,0,0,7,58,8,Magusa
33,GAZİMAĞUSA - BAYKAL MAH,294,150,150,0,144,149,1,45,24,2,1,0,0,0,0,5,61,11,Magusa
34,GAZİMAĞUSA - BAYKAL MAH,291,139,139,0,152,134,5,27,30,2,0,0,0,0,0,12,57,6,Magusa
35,GAZİMAĞUSA - CANBULAT MAH,272,108,108,0,164,107,1,38,24,4,0,1,0,0,1,8,30,1,Magusa
36,GAZİMAĞUSA - CANBULAT MAH,273,116,116,0,157,112,4,39,31,3,0,0,1,0,0,2,31,5,Magusa
37,GAZİMAĞUSA - CANBULAT MAH,273,137,137,0,136,135,2,40,27,6,2,1,0,0,0,13,39,7,Magusa
38,GAZİMAĞUSA - CANBULAT MAH,275,114,114,0,161,105,9,22,29,3,0,0,0,0,0,8,40,3,Magusa
